Ville,Indicateur,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Bobo Dioulasso,Temp. min,19.1,22,24.7,25.2,24.2,22.7,21.8,21.5,21.5,22.1,21.4,19.3
Bobo Dioulasso,Temp. max,32.9,35.7,37.6,37.2,35.2,32.5,30.4,29.6,30.8,33.3,34.7,33.4
Bobo Dioulasso,Précipitations,0.7,1.7,17.1,53.7,98.3,132.6,207.3,269,195.5,71.6,5.8,0.7
Boromo,Temp. min,17,20.1,24.3,26.6,26.1,24.2,22.9,22.5,22.5,22.8,19.3,17
Boromo,Temp. max,34.1,37,39.6,39.7,37.9,35,32.3,31.1,32.3,35.4,36.8,34.9
Boromo,Précipitations,0.8,1,5.3,42.6,79.7,118.9,200.4,261.2,157.8,52.9,1.5,NA
Dédougou,Temp. min,17.7,20.8,24.5,26.9,26.6,24.5,22.9,22.3,22.3,22.8,20.5,18.2
Dédougou,Temp. max,33.9,36.9,39.7,40.4,38.8,35.5,32.6,31.1,32.9,36.4,37.2,34.9
Dédougou,Précipitations,0.1,0.4,6,23.6,65.4,108,190.1,255.9,146,45.2,1.5,NA
Dori,Temp. min,15.5,18.4,22.6,26.7,28.8,27.2,25,24.1,24.8,24.8,19.4,16.1
Dori,Temp. max,32.6,36,40,42.4,41.8,38.8,35.6,33.7,35.9,38.9,37.6,33.9
Dori,Précipitations,0.3,NA,2.7,4.8,25.7,68.3,127.9,186.9,73.8,16.7,NA,NA
Fada N'Gourma,Temp. min,18,21,24.8,27,26.3,24.4,23.1,22.5,22.7,22.9,20.2,18.3
Fada N'Gourma,Temp. max,33.8,36.9,39.8,40.1,37.7,34.6,31.9,30.6,32.1,35.4,36.9,34.7
Fada N'Gourma,Précipitations,NA,2.1,6.9,29,81.8,114.8,177.5,249.3,142.9,46.3,0.5,NA
Gaoua,Temp. min,16.5,19.8,23.9,25.5,24.7,23.4,22.7,22.4,22.2,22.2,19.6,16.2
Gaoua,Temp. max,34.5,36.8,38.1,36.8,34.9,32.5,30.8,30,31.2,33.8,35.7,34.9
Gaoua,Précipitations,2.6,9.4,29.7,79.8,122.9,134.3,186.1,235.9,191.7,92.5,13.4,0.1
Ouahigouya,Temp. min,17.6,20.5,24.4,27.5,28,26,23.9,23,23.4,24.1,21.3,18.4
Ouahigouya,Temp. max,32.3,35.6,39,40.8,40,37,33.7,31.8,33.5,37,36.8,33.6
Ouahigouya,Précipitations,0.1,0.1,1.3,7.1,39.6,107,170.4,238.9,130.5,38.8,1.1,NA
Pô,Temp. min,18.5,21.7,25.2,26.2,25.1,23.2,22.4,22,21.9,22.3,20.6,18.5
Pô,Temp. max,34.1,36.7,39,38.4,36.1,33.3,31,30.2,31.3,34.2,36.2,34.6
Pô,Précipitations,0.4,3.6,11.9,54.1,98.9,141.3,196.5,293.6,180.3,54.7,1,0.6
